user_id,product_id,action,timestamp
1,26,view,2025-01-06T13:47:00
1,26,click,2025-01-06T13:48:00
1,26,add_to_cart,2025-01-06T13:49:00
1,26,remove_cart,2025-01-06T13:50:00
1,130,search,2025-01-08T22:25:00
1,130,view,2025-01-08T22:27:00
1,130,click,2025-01-08T22:30:00
1,36,view,2025-01-09T19:44:00
1,36,click,2025-01-09T19:47:00
1,36,add_to_cart,2025-01-09T19:49:00
1,36,purchase,2025-01-09T19:51:00
1,33,view,2025-01-09T19:53:00
1,33,add_to_cart,2025-01-09T19:54:00
1,33,purchase,2025-01-09T19:56:00
1,31,view,2025-01-09T20:07:00
1,31,click,2025-01-09T20:10:00
1,31,add_to_cart,2025-01-09T20:13:00
1,31,purchase,2025-01-09T20:14:00
1,31,search,2025-01-12T01:10:00
1,31,view,2025-01-12T01:12:00
1,31,click,2025-01-12T01:15:00
1,37,view,2025-01-12T01:17:00
1,37,click,2025-01-12T01:18:00
1,37,view,2025-01-13T13:36:00
1,37,click,2025-01-13T13:38:00
1,37,add_to_cart,2025-01-13T13:39:00
1,37,purchase,2025-01-13T13:40:00
1,120,view,2025-01-15T09:13:00
1,120,click,2025-01-15T09:17:00
1,120,add_to_cart,2025-01-15T09:18:00
1,120,purchase,2025-01-15T09:20:00
1,116,view,2025-01-15T09:28:00
1,116,click,2025-01-15T09:32:00
1,130,view,2025-01-15T09:33:00
1,130,click,2025-01-15T09:34:00
1,130,add_to_cart,2025-01-15T09:35:00
1,130,purchase,2025-01-15T09:36:00
1,20,view,2025-01-17T07:00:00
1,20,click,2025-01-17T07:01:00
1,15,view,2025-01-17T07:02:00
1,15,click,2025-01-17T07:05:00
1,15,add_to_cart,2025-01-17T07:07:00
1,15,remove_cart,2025-01-17T07:09:00
1,37,review,2025-01-17T13:48:00
2,196,search,2025-01-13T03:12:00
2,196,view,2025-01-13T03:13:00
2,196,click,2025-01-13T03:14:00
2,196,add_to_cart,2025-01-13T03:16:00
2,196,purchase,2025-01-13T03:18:00
2,192,view,2025-01-13T03:24:00
2,192,click,2025-01-13T03:25:00
2,180,view,2025-01-15T09:57:00
2,180,click,2025-01-15T09:59:00
2,180,add_to_cart,2025-01-15T10:02:00
2,180,purchase,2025-01-15T10:03:00
2,196,review,2025-01-17T03:24:00
2,63,search,2025-01-18T07:41:00
2,63,view,2025-01-18T07:42:00
2,63,click,2025-01-18T07:44:00
2,54,view,2025-01-18T07:45:00
2,54,click,2025-01-18T07:47:00
2,54,add_to_cart,2025-01-18T07:48:00
2,54,remove_cart,2025-01-18T07:49:00
2,57,view,2025-01-18T07:50:00
2,57,click,2025-01-18T07:53:00
2,57,add_to_cart,2025-01-18T07:54:00
2,57,remove_cart,2025-01-18T07:56:00
2,194,view,2025-01-20T22:27:00
2,194,click,2025-01-20T22:29:00
2,194,add_to_cart,2025-01-20T22:32:00
2,194,purchase,2025-01-20T22:34:00
2,191,view,2025-01-20T22:36:00
2,191,click,2025-01-20T22:37:00
2,191,add_to_cart,2025-01-20T22:40:00
2,191,remove_cart,2025-01-20T22:41:00
2,183,view,2025-01-20T22:42:00
2,183,click,2025-01-20T22:46:00
2,183,add_to_cart,2025-01-20T22:47:00
2,183,purchase,2025-01-20T22:48:00
2,177,view,2025-01-23T04:25:00
2,103,view,2025-01-25T23:51:00
2,103,click,2025-01-25T23:53:00
2,103,add_to_cart,2025-01-25T23:55:00
2,103,purchase,2025-01-25T23:57:00
2,94,view,2025-01-26T00:07:00
2,94,click,2025-01-26T00:11:00
2,94,add_to_cart,2025-01-26T00:13:00
2,94,purchase,2025-01-26T00:14:00
2,94,review,2025-02-01T00:24:00
2,183,review,2025-02-03T22:51:00
3,89,view,2025-01-08T06:05:00
3,89,click,2025-01-08T06:06:00
3,194,search,2025-01-09T09:46:00
3,194,view,2025-01-09T09:49:00
3,194,click,2025-01-09T09:50:00
3,182,search,2025-01-11T19:13:00
3,182,view,2025-01-11T19:15:00
3,182,click,2025-01-11T19:17:00
3,197,view,2025-01-11T19:19:00
3,197,click,2025-01-11T19:20:00
3,18,search,2025-01-12T20:55:00
3,18,view,2025-01-12T20:57:00
3,18,add_to_cart,2025-01-12T20:58:00
3,18,purchase,2025-01-12T20:59:00
3,104,search,2025-01-15T13:44:00
3,104,view,2025-01-15T13:47:00
3,104,add_to_cart,2025-01-15T13:48:00
3,104,purchase,2025-01-15T13:49:00
3,88,view,2025-01-15T13:59:00
3,88,click,2025-01-15T14:01:00
3,109,view,2025-01-15T14:02:00
3,109,click,2025-01-15T14:05:00
3,21,search,2025-01-17T06:00:00
3,21,view,2025-01-17T06:01:00
3,21,click,2025-01-17T06:04:00
3,15,search,2025-01-19T05:07:00
3,15,view,2025-01-19T05:10:00
3,15,click,2025-01-19T05:12:00
3,18,view,2025-01-19T05:14:00
3,18,click,2025-01-19T05:16:00
3,18,add_to_cart,2025-01-19T05:17:00
3,18,purchase,2025-01-19T05:18:00
3,14,view,2025-01-19T05:23:00
3,14,click,2025-01-19T05:24:00
3,104,review,2025-01-20T13:59:00
3,199,view,2025-01-22T00:37:00
3,199,add_to_cart,2025-01-22T00:39:00
3,199,purchase,2025-01-22T00:41:00
3,180,view,2025-01-22T00:49:00
3,180,click,2025-01-22T00:51:00
3,180,add_to_cart,2025-01-22T00:54:00
3,180,purchase,2025-01-22T00:55:00
3,183,view,2025-01-22T01:00:00
3,183,click,2025-01-22T01:03:00
3,183,add_to_cart,2025-01-22T01:04:00
3,183,purchase,2025-01-22T01:05:00
3,196,view,2025-01-23T14:54:00
3,196,add_to_cart,2025-01-23T14:57:00
3,196,remove_cart,2025-01-23T14:59:00
3,192,view,2025-01-23T15:01:00
3,192,click,2025-01-23T15:02:00
3,192,add_to_cart,2025-01-23T15:04:00
3,192,purchase,2025-01-23T15:06:00
3,2,view,2025-01-24T03:49:00
3,2,click,2025-01-24T03:51:00
3,14,view,2025-01-24T03:52:00
3,14,click,2025-01-24T03:55:00
3,180,review,2025-01-30T01:00:00
3,192,review,2025-02-02T15:16:00
4,185,search,2025-01-06T16:26:00
4,185,view,2025-01-06T16:28:00
4,185,click,2025-01-06T16:30:00
4,185,add_to_cart,2025-01-06T16:32:00
4,185,purchase,2025-01-06T16:33:00
4,193,view,2025-01-06T16:38:00
4,193,click,2025-01-06T16:41:00
4,180,view,2025-01-06T16:43:00
4,180,click,2025-01-06T16:47:00
4,180,add_to_cart,2025-01-06T16:50:00
4,180,purchase,2025-01-06T16:51:00
4,200,search,2025-01-07T20:46:00
4,200,view,2025-01-07T20:47:00
4,200,click,2025-01-07T20:49:00
4,124,search,2025-01-09T11:46:00
4,124,view,2025-01-09T11:47:00
4,124,click,2025-01-09T11:51:00
4,124,add_to_cart,2025-01-09T11:52:00
4,124,purchase,2025-01-09T11:53:00
